"","success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"1","true","full_screen","d07252022hr1931","fullscreen",0,5217,"0.0-0.0",0,0,18183,"",NA,"",NA,"",NA,"","",NA,NA,"","",NA,NA,"","",NA,NA,NA,"",NA
"2","","instructions","","instructions",1,6685,"0.0-1.0-0.0-0.0",0,0,18183,"[{""page_index"":0,""viewing_time"":1159},{""page_index"":1,""viewing_time"":154},{""page_index"":2,""viewing_time"":153}]",1467,"",NA,"",NA,"","",NA,NA,"","",NA,NA,"","",NA,NA,NA,"",NA
"3","","comprehension_check","","survey-multi-choice",2,14289,"0.0-1.0-0.0-1.0",0,0,18183,"",7599,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""When you see the prompt 'MAKE A CHOICE' after the second image was presented"",""Q3"":""Green mark"",""Q4"":""either D or K""}",0,"",NA,"","",NA,NA,"","",NA,NA,"","",NA,NA,NA,"",NA
"4","","start_exp","","html-keyboard-response",3,15812,"0.0-1.0-1.0",0,0,18183,"",1520,"",NA,"32",NA,"","",NA,NA,"","",NA,NA,"","",NA,NA,NA,"",NA
"5","","S1","","html-keyboard-response",4,16065,"0.0-1.0-2.0",0,0,18183,"",NA,"",NA,"null",0,"","",NA,NA,"","",NA,NA,"","",NA,NA,NA,"",NA
"6","","ISI","","html-keyboard-response",5,16169,"0.0-1.0-3.0",0,0,18183,"",NA,"",NA,"null",0,"NaN","",NA,NA,"","",NA,NA,"","",NA,NA,NA,"",NA
"7","","S2","","html-keyboard-response",6,16421,"0.0-1.0-4.0",0,0,18183,"",NA,"",NA,"null",0,"","NaN",NA,NA,"","",NA,NA,"","",NA,NA,NA,"",NA
"8","","response","","html-keyboard-response",7,16458,"0.0-1.0-5.0",0,0,18183,"",35,"",NA,"68",0,"","",1,0,"training","adjacent",2,1,"L.jpg","N.jpg",0,0,1,"",NA
"9","","feedback","","html-keyboard-response",8,16562,"0.0-1.0-6.0-0.0",0,0,18183,"",NA,"",NA,"null",0,"","",NA,NA,"","",NA,NA,"","",NA,NA,NA,"",NA
"10","","ITI","","html-keyboard-response",9,17065,"0.0-1.0-9.0",0,0,18183,"",NA,"",NA,"null",0,"","",NA,NA,"","",NA,NA,"","",NA,NA,NA,"NaN",NA
