"","PID","index","ttype","block","phase","pair_type","S1_stim","S2_stim","S1_img","S2_img","rt","S1_chosen","S1_higher","accuracy","zscored_rt","keypress_S2","rt_keypress_s2","zscored_rt_keypress_s2","keypress_iti","rt_keypress_iti","zscored_rt_keypress_iti","keypress_isi","rt_keypress_isi","zscored_rt_keypress_isi"
"1",18183,0,"response",1,"training","adjacent",2,1,"L.jpg","N.jpg",35,0,0,1,-1.01052975446634,"NaN",NA,NA,"NaN",NA,NA,"NaN",NA,NA
"2",18183,1,"response",1,"training","adjacent",7,6,"P.jpg","M.jpg",149,0,0,1,0.129295895982523,"d",137,0.00931424856685311,"d",284,1.47908942940881,"NaN",NA,NA
"3",18183,2,"response",1,"training","adjacent",5,4,"O.jpg","Q.jpg",73,1,0,0,-0.630587870983389,"k",127,-0.0906704576128722,"k",176,0.399254602667782,"k",27,-1.09051751941013
"4",18183,3,"response",1,"training","adjacent",4,3,"Q.jpg","R.jpg",171,0,0,1,0.349262249577919,"d",122,-0.140662810702735,"d",148,0.119297425364551,"NaN",NA,NA
"5",18183,4,"response",1,"training","adjacent",3,2,"R.jpg","L.jpg",58,0,0,1,-0.780564930252977,"d",27,-1.09051751941013,"d",170,0.339263778959947,"NaN",NA,NA
"6",18183,5,"response",1,"training","adjacent",6,7,"M.jpg","P.jpg",163,1,1,1,0.269274484634139,"NaN",NA,NA,"k",131,-0.0506765751409821,"k",93,-0.430618458623938
"7",18183,6,"response",1,"training","adjacent",5,6,"O.jpg","M.jpg",60,1,1,1,-0.760567989017032,"k",68,-0.680580224073251,"k",124,-0.12066586946679,"NaN",NA,NA
"8",18183,7,"response",1,"training","adjacent",6,5,"M.jpg","O.jpg",3,1,0,0,-1.33048081424147,"k",5,-1.31048387300552,"k",15,-1.2104991668258,"NaN",NA,NA
"9",18183,8,"response",1,"training","adjacent",1,2,"N.jpg","L.jpg",239,1,1,1,1.02915825160005,"k",36,-1.00053128384837,"k",116,-0.20065363441057,"NaN",NA,NA
"10",18183,9,"response",1,"training","adjacent",3,4,"R.jpg","Q.jpg",48,1,1,1,-0.880549636432702,"k",113,-0.230649046264488,"k",85,-0.510606223567718,"k",1,-1.35047775547741
"11",18183,10,"response",1,"training","adjacent",2,3,"L.jpg","R.jpg",72,1,1,1,-0.640586341601361,"k",94,-0.420619988005966,"k",137,0.00931424856685311,"NaN",NA,NA
"12",18183,11,"response",1,"training","adjacent",4,5,"Q.jpg","O.jpg",375,1,1,1,2.38895025564431,"k",28,-1.08051904879215,"k",162,0.259276014016166,"NaN",NA,NA
"13",18183,12,"response",2,"training","adjacent",3,2,"R.jpg","L.jpg",195,1,0,0,0.58922554440926,"k",193,0.569228603173315,"k",59,-0.770566459635004,"k",55,-0.810560342106894
"14",18183,13,"response",2,"training","adjacent",4,3,"Q.jpg","R.jpg",249,0,0,1,1.12914295777978,"d",139,0.0293111898027982,"d",264,1.27912001704936,"NaN",NA,NA
"15",18183,14,"response",2,"training","adjacent",5,4,"O.jpg","Q.jpg",33,0,0,1,-1.03052669570229,"NaN",NA,NA,"d",232,0.959168957274243,"d",71,-0.650584812219334
"16",18183,15,"response",2,"training","adjacent",7,6,"P.jpg","M.jpg",5,0,0,1,-1.31048387300552,"NaN",NA,NA,"d",221,0.849185780476545,"d",22,-1.14050987249999
"17",18183,16,"response",2,"training","adjacent",1,2,"N.jpg","L.jpg",269,0,1,0,1.32911237013923,"d",159,0.229280602162249,"d",150,0.139294366600496,"NaN",NA,NA
"18",18183,17,"response",2,"training","adjacent",4,5,"Q.jpg","O.jpg",83,0,1,0,-0.530603164803663,"d",6,-1.30048540238755,"k",9,-1.27048999053363,"NaN",NA,NA
"19",18183,18,"response",2,"training","adjacent",6,7,"M.jpg","P.jpg",223,1,1,1,0.869182721712491,"k",176,0.399254602667782,"k",241,1.049155192836,"k",12,-1.24049457867971
"20",18183,19,"response",2,"training","adjacent",2,3,"L.jpg","R.jpg",104,1,1,1,-0.32063528182624,"k",58,-0.780564930252977,"k",143,0.0693050722746883,"NaN",NA,NA
"21",18183,20,"response",2,"training","adjacent",3,4,"R.jpg","Q.jpg",177,0,1,0,0.409253073285754,"d",106,-0.300638340590295,"d",125,-0.110667398848817,"NaN",NA,NA
"22",18183,21,"response",2,"training","adjacent",5,6,"O.jpg","M.jpg",17,0,1,0,-1.19050222558985,"NaN",NA,NA,"d",106,-0.300638340590295,"d",68,-0.680580224073251
"23",18183,22,"response",2,"training","adjacent",2,1,"L.jpg","N.jpg",233,1,0,0,0.969167427892216,"NaN",NA,NA,"k",46,-0.900546577668647,"k",26,-1.1005159900281
"24",18183,23,"response",2,"training","adjacent",6,5,"M.jpg","O.jpg",248,1,0,0,1.1191444871618,"k",215,0.78919495676871,"k",131,-0.0506765751409821,"k",2,-1.34047928485944
"25",18183,24,"response",3,"training","adjacent",7,6,"P.jpg","M.jpg",32,1,0,0,-1.04052516632026,"k",0,-1.36047622609538,"k",69,-0.670581753455279,"NaN",NA,NA
"26",18183,25,"response",3,"training","adjacent",4,5,"Q.jpg","O.jpg",65,1,1,1,-0.710575635927169,"k",2,-1.34047928485944,"k",261,1.24912460519545,"NaN",NA,NA
"27",18183,26,"response",3,"training","adjacent",5,6,"O.jpg","M.jpg",84,1,1,1,-0.520604694185691,"k",58,-0.780564930252977,"k",281,1.4490940175549,"NaN",NA,NA
"28",18183,27,"response",3,"training","adjacent",4,3,"Q.jpg","R.jpg",58,0,0,1,-0.780564930252977,"k",70,-0.660583282837306,"d",193,0.569228603173315,"NaN",NA,NA
"29",18183,28,"response",3,"training","adjacent",6,7,"M.jpg","P.jpg",9,0,1,0,-1.27048999053363,"NaN",NA,NA,"d",133,-0.030679633905037,"d",84,-0.520604694185691
"30",18183,29,"response",3,"training","adjacent",3,2,"R.jpg","L.jpg",NA,NA,0,0,NA,"d",76,-0.600592459129471,"NaN",NA,NA,"NaN",NA,NA
"31",18183,30,"response",3,"training","adjacent",3,4,"R.jpg","Q.jpg",359,0,1,0,2.22897472575675,"NaN",NA,NA,"NaN",NA,NA,"NaN",NA,NA
"32",18183,31,"response",3,"training","adjacent",6,5,"M.jpg","O.jpg",101,0,0,1,-0.350630693680158,"NaN",NA,NA,"NaN",NA,NA,"d",5,-1.31048387300552
"33",18183,32,"response",3,"training","adjacent",2,3,"L.jpg","R.jpg",12,0,1,0,-1.24049457867971,"d",11,-1.25049304929769,"d",152,0.159291307836441,"NaN",NA,NA
"34",18183,33,"response",3,"training","adjacent",2,1,"L.jpg","N.jpg",126,0,0,1,-0.100668928230845,"d",3,-1.33048081424147,"d",343,2.06899919586919,"NaN",NA,NA
"35",18183,34,"response",3,"training","adjacent",1,2,"N.jpg","L.jpg",24,0,1,0,-1.12051293126404,"NaN",NA,NA,"d",53,-0.830557283342839,"d",74,-0.620589400365416
"36",18183,35,"response",3,"training","adjacent",5,4,"O.jpg","Q.jpg",176,1,0,0,0.399254602667782,"k",48,-0.880549636432702,"k",75,-0.610590929747444,"NaN",NA,NA
"37",18183,36,"response",4,"test","non_adjacent",5,3,"O.jpg","R.jpg",NA,NA,0,0,NA,"NaN",NA,NA,"n",155,0.189286719690359,"NaN",NA,NA
"38",18183,37,"response",4,"test","non_adjacent",3,1,"R.jpg","N.jpg",NA,NA,0,0,NA,"n",187,0.50923777946548,"k",14,-1.22049763744377,"n",87,-0.490609282331773
"39",18183,38,"response",4,"test","non_adjacent",1,3,"N.jpg","R.jpg",41,1,1,1,-0.95053893075851,"k",39,-0.970535871994455,"k",190,0.539233191319397,"NaN",NA,NA
"40",18183,39,"response",4,"test","adjacent",4,3,"Q.jpg","R.jpg",84,1,0,0,-0.520604694185691,"k",71,-0.650584812219334,"k",239,1.02915825160005,"NaN",NA,NA
"41",18183,40,"response",4,"test","non_adjacent",7,1,"P.jpg","N.jpg",74,1,0,0,-0.620589400365416,"k",82,-0.540601635421636,"k",178,0.419251543903727,"NaN",NA,NA
"42",18183,41,"response",4,"test","non_adjacent",4,2,"Q.jpg","L.jpg",NA,NA,0,0,NA,"space",152,0.159291307836441,"space",243,1.06915213407194,"NaN",NA,NA
"43",18183,42,"response",4,"test","non_adjacent",4,1,"Q.jpg","N.jpg",NA,NA,0,0,NA,"space",127,-0.0906704576128722,"k",354,2.17898237266689,"NaN",NA,NA
