"","event","trial","time","PID","ttype"
"1","fullscreenenter",0,1028,47849,""
"2","blur",360,97415,47849,"response"
"3","focus",431,125666,47849,"too_slow_prompt"
"4","blur",746,294049,47849,""
"5","focus",746,308321,47849,""
"6","blur",746,318130,47849,""
"7","focus",746,326807,47849,""
"8","blur",746,335320,47849,""
"9","focus",746,343880,47849,""
"10","fullscreenenter",0,970,71923,""
"11","blur",724,217291,71923,""
"12","focus",724,232249,71923,""
"13","blur",724,249051,71923,""
"14","focus",724,259801,71923,""
"15","blur",724,264408,71923,""
"16","focus",724,369577,71923,""
"17","blur",726,381717,71923,"NaN"
