"","PID","total_bonus_tally"
"2453",10130,2.3
"4915",10440,4.09
"7334",10916,2.82
"9806",11058,4.07
"12311",11146,3.7
"14853",11423,3.37
"17367",11472,3.57
"19974",11490,1.99
"22452",11652,2.66
"25027",11894,2.8
"27453",11946,2.69
"29968",12286,3.52
"32561",12498,2.54
"35158",12977,2.49
"37636",13066,4.02
"40228",13171,2.54
"42778",13216,3.13
"45393",13441,2.22
"47668",13459,2.56
"50167",13464,3.72
"52448",13654,2.23
"54937",14025,3.5
"57431",14243,3.83
"59908",14322,4.03
"62361",14944,4.13
"64946",15129,2.64
"67450",15232,3.66
"69805",15558,2.42
"72384",15615,2.4
"74915",15919,2.58
"77227",16362,2.36
"79706",16402,2.53
"82250",16424,3.18
"84750",16782,3.71
"87256",17075,3.67
"89798",17466,3.26
"92223",17696,4.66
"94524",17750,2.36
"97084",17857,2.73
"99621",17987,3.28
"102136",18045,3.57
"104604",18641,4.07
"107161",18697,3.11
"109639",18765,3.88
"111885",18860,2.39
"114279",18985,2.63
"116877",19108,2.46
"119112",19187,2.42
"121552",19701,2.58
"124083",19840,2.6
"126657",20187,2.82
"130930",20811,4.04
"133503",21078,2.79
"135951",21089,2.6
"138505",21116,3.03
"141085",21332,2.06
"143454",21384,2.41
"145957",21881,3.67
"148428",22136,4.08
"150806",22553,3.33
"153360",22877,3.03
"155772",22986,3.17
"158277",23079,3.67
"160753",23103,4.02
"163302",23498,2.37
"165749",23629,4.38
"168303",23662,3.03
"170911",24025,1.92
"173230",24118,2.49
"175782",24578,3.04
"178260",24697,3.85
"180801",24764,3.14
"183371",24857,2.64
"185878",24925,3.62
"188378",24968,2.8
"190973",25367,2.51
"193409",25561,2.16
"195963",25689,2.61
"198441",25750,2.17
"200826",25827,4.27
"203280",25840,4.32
"205836",26119,3.03
"208071",26228,2.49
"210658",26537,2.59
"213164",26806,3.59
"215761",26927,2.53
"218254",27045,3.78
"220753",27070,2.46
"223345",27125,2.35
"225677",27128,2.64
"228214",27397,2.46
"230769",27555,3.06
"233068",27636,4.4
"235311",27742,2.49
"237652",28173,3.83
"240102",28186,4.34
"242626",28260,2.5
"245157",28333,2.92
"247668",28364,3.52
"250094",28482,2.34
"252549",28528,3.84
"255102",28787,2.89
"257552",29174,4.12
"260082",29380,2.61
"262590",29448,3.41
"265161",29851,2.93
"267641",29884,3.66
"270230",30030,2.59
"272723",30037,2.99
"275302",30139,2.37
"277729",30270,4.24
"280121",30433,2.41
"282753",30555,2.08
"285360",30615,2.36
"287711",30677,2.4
"290151",30744,4.19
"292758",31385,2.12
"295299",31565,2.37
"297667",32031,2.26
"300206",32185,2.32
"302817",32878,2.39
"305285",32974,4.12
"307806",33248,2.8
"310299",33307,3.88
"312771",33390,2.11
"315255",33660,3.91
"317722",33866,4.12
"320180",33884,4.28
"322463",34103,4.61
"325063",34281,2.53
"327642",34315,2.45
"330091",34344,4.34
"332532",34348,4.46
"335076",34408,2.88
"337681",34566,2.42
"340119",34902,4.49
"342632",35209,2.68
"344952",35674,4.11
"347406",35714,4.28
"349871",35816,4.03
"352323",35879,3.8
"354914",35959,2.6
"357342",36403,4.1
"359854",36625,2.49
"362435",37124,2.58
"364931",37444,3.8
"367502",37652,2.63
"369878",38216,2.02
"372240",38343,3.59
"374750",38420,3.59
"377350",38456,2.45
"379954",38558,2.4
"382450",38760,2.31
"384908",38804,4.27
"387317",38905,2.92
"389857",38972,3.24
"392297",39014,4.51
"394789",39050,3.85
"397254",39074,4.15
"399755",39269,3.69
"402266",39505,3.61
"404719",39725,4.24
"407326",39991,2.4
"409928",40046,2.42
"412408",40410,3.96
"414934",40481,3.38
"417435",40847,3.38
"419905",40918,4.09
"422125",41004,2.54
"424730",41119,2.32
"427108",41313,4.58
"429639",41362,3.36
"432219",41407,2.44
"434683",41416,4.17
"437263",41433,2.7
"439742",42313,3.35
"442179",42716,4.19
"444628",42744,3.86
"447154",42762,2.3
"449639",42781,3.78
"452089",42867,2.25
"454537",43113,4.34
"457126",43324,2.47
"459723",43628,2.53
"462085",43789,2.03
"464565",43973,2.49
"467157",43986,2.56
"469751",44081,2.59
"472325",44440,2.31
"474880",44491,2.87
"477357",44502,4
"479920",44865,2.84
"482438",45180,3.45
"485015",45707,2.5
"487490",45880,4.03
"489745",46016,2.53
"492337",46404,2.32
"494783",46750,4.39
"497023",47162,2.36
"499605",47309,2.37
"502124",47393,3.21
"504510",47469,2.6
"507008",47507,3.74
"509537",47542,3.33
"511883",47611,2.88
"514467",47686,1.78
"516955",47695,3.75
"519548",47705,2.5
