"success","category","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","ttype","responses","repeat_instructions","key_press","index","keypress_S2","block","trial_num","phase","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","keypress_isi","total_bonus_tally"
"true","full_screen","d07192022hr1426","fullscreen","0","1967","0.0-0.0","0","0","71923","","","","","","","","","","","","","","","","","","","","","",""
"","","","instructions","1","3387","0.0-1.0-0.0-0.0","0","0","71923","[{""page_index"":0,""viewing_time"":1072},{""page_index"":1,""viewing_time"":161},{""page_index"":2,""viewing_time"":184}]","1417","instructions","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","9977","0.0-1.0-0.0-1.0","0","0","71923","","6586","comprehension_check","{""Q0"":""True"",""Q1"":""True"",""Q2"":""When you see the prompt 'MAKE A CHOICE' after the second image was presented"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","3","11035","0.0-1.0-1.0","0","0","71923","","1055","start_exp","","","32","","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","4","11291","0.0-1.0-2.0","0","0","71923","","null","S1","","","null","0","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","5","11396","0.0-1.0-3.0","0","0","71923","","null","ISI","","","null","0","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","6","11649","0.0-1.0-4.0","0","0","71923","","117","S2","","","75","0","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","7","11687","0.0-1.0-5.0","0","0","71923","","38","response","","","75","0","","1","0","training","adjacent","2","3","R.jpg","P.jpg","1","1","1","","",""
"","","","html-keyboard-response","8","11793","0.0-1.0-6.0-0.0","0","0","71923","","null","feedback","","","null","0","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","9","12297","0.0-1.0-9.0","0","0","71923","","61","ITI","","","75","0","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","10","12549","0.0-1.0-11.0","0","0","71923","","null","S1","","","null","1","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","11","12654","0.0-1.0-12.0","0","0","71923","","null","ISI","","","null","1","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","12","12906","0.0-1.0-13.0","0","0","71923","","7","S2","","","75","1","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","13","12994","0.0-1.0-14.0","0","0","71923","","87","response","","","75","1","","1","1","training","adjacent","3","4","P.jpg","Q.jpg","1","1","1","","",""
"","","","html-keyboard-response","14","13096","0.0-1.0-15.0-0.0","0","0","71923","","null","feedback","","","null","1","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","15","13599","0.0-1.0-18.0","0","0","71923","","64","ITI","","","75","1","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","16","13852","0.0-1.0-20.0","0","0","71923","","null","S1","","","null","2","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","17","13955","0.0-1.0-21.0","0","0","71923","","null","ISI","","","null","2","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","18","14209","0.0-1.0-22.0","0","0","71923","","108","S2","","","75","2","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","19","14258","0.0-1.0-23.0","0","0","71923","","47","response","","","75","2","","1","2","training","adjacent","5","4","O.jpg","Q.jpg","1","0","0","","",""
"","","","html-keyboard-response","20","14362","0.0-1.0-24.0-0.0","0","0","71923","","null","feedback","","","null","2","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","21","14465","0.0-1.0-26.0-0.0","0","0","71923","","null","time_out","","","null","2","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","22","14966","0.0-1.0-27.0","0","0","71923","","145","ITI","","","75","2","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","23","15220","0.0-1.0-29.0","0","0","71923","","null","S1","","","null","3","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","24","15322","0.0-1.0-30.0","0","0","71923","","83","ISI","","","75","3","","","","","","","","","","","","","","k",""
"","","","html-keyboard-response","25","15575","0.0-1.0-31.0","0","0","71923","","140","S2","","","75","3","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","26","15648","0.0-1.0-32.0","0","0","71923","","72","response","","","75","3","","1","3","training","adjacent","3","2","P.jpg","R.jpg","1","0","0","","",""
"","","","html-keyboard-response","27","15753","0.0-1.0-33.0-0.0","0","0","71923","","null","feedback","","","null","3","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","28","15857","0.0-1.0-35.0-0.0","0","0","71923","","null","time_out","","","null","3","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","29","16359","0.0-1.0-36.0","0","0","71923","","151","ITI","","","75","3","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","30","16614","0.0-1.0-38.0","0","0","71923","","null","S1","","","null","4","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","31","16715","0.0-1.0-39.0","0","0","71923","","67","ISI","","","75","4","","","","","","","","","","","","","","k",""
"","","","html-keyboard-response","32","16970","0.0-1.0-40.0","0","0","71923","","123","S2","","","75","4","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","33","17057","0.0-1.0-41.0","0","0","71923","","87","response","","","68","4","","1","4","training","adjacent","1","2","M.jpg","R.jpg","0","1","0","","",""
"","","","html-keyboard-response","34","17160","0.0-1.0-42.0-0.0","0","0","71923","","null","feedback","","","null","4","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","35","17264","0.0-1.0-44.0-0.0","0","0","71923","","null","time_out","","","null","4","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","36","17767","0.0-1.0-45.0","0","0","71923","","145","ITI","","","68","4","","","","","","","","","","","","","d","",""
"","","","html-keyboard-response","37","18022","0.0-1.0-47.0","0","0","71923","","null","S1","","","null","5","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","38","18123","0.0-1.0-48.0","0","0","71923","","null","ISI","","","null","5","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","39","18376","0.0-1.0-49.0","0","0","71923","","94","S2","","","68","5","d","","","","","","","","","","","","","",""
"","","","html-keyboard-response","40","18487","0.0-1.0-50.0","0","0","71923","","111","response","","","68","5","","1","5","training","adjacent","4","5","Q.jpg","O.jpg","0","1","0","","",""
"","","","html-keyboard-response","41","18588","0.0-1.0-51.0-0.0","0","0","71923","","null","feedback","","","null","5","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","42","18689","0.0-1.0-53.0-0.0","0","0","71923","","null","time_out","","","null","5","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","43","19192","0.0-1.0-54.0","0","0","71923","","291","ITI","","","68","5","","","","","","","","","","","","","d","",""
"","","","html-keyboard-response","44","19448","0.0-1.0-56.0","0","0","71923","","null","S1","","","null","6","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","45","19550","0.0-1.0-57.0","0","0","71923","","70","ISI","","","68","6","","","","","","","","","","","","","","d",""
"","","","html-keyboard-response","46","19807","0.0-1.0-58.0","0","0","71923","","null","S2","","","null","6","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","47","19815","0.0-1.0-59.0","0","0","71923","","7","response","","","68","6","","1","6","training","adjacent","2","1","R.jpg","M.jpg","0","0","1","","",""
"","","","html-keyboard-response","48","19917","0.0-1.0-60.0-0.0","0","0","71923","","null","feedback","","","null","6","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","49","20421","0.0-1.0-63.0","0","0","71923","","379","ITI","","","68","6","","","","","","","","","","","","","d","",""
"","","","html-keyboard-response","50","20675","0.0-1.0-65.0","0","0","71923","","null","S1","","","null","7","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","51","20780","0.0-1.0-66.0","0","0","71923","","null","ISI","","","null","7","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","52","21033","0.0-1.0-67.0","0","0","71923","","84","S2","","","68","7","d","","","","","","","","","","","","","",""
"","","","html-keyboard-response","53","21131","0.0-1.0-68.0","0","0","71923","","97","response","","","68","7","","1","7","training","adjacent","4","3","Q.jpg","P.jpg","0","0","1","","",""
"","","","html-keyboard-response","54","21234","0.0-1.0-69.0-0.0","0","0","71923","","null","feedback","","","null","7","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","55","21738","0.0-1.0-72.0","0","0","71923","","null","ITI","","","null","7","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","56","24057","0.0-1.0-73.0-0.0","0","0","71923","","2317","block_over","","","32","7","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","57","24309","0.0-1.0-74.0","0","0","71923","","null","S1","","","null","8","","","","","","","","","","","","","","",""
