"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d03082023hr1537","fullscreen","0","11464","0.0-0.0","0","0","78061","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","35761","0.0-1.0-0.0-0.0","0","0","78061","[{""page_index"":0,""viewing_time"":3366},{""page_index"":1,""viewing_time"":12956},{""page_index"":2,""viewing_time"":6205},{""page_index"":3,""viewing_time"":1768}]","24296","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","49040","0.0-1.0-0.0-1.0","0","0","78061","","13276","{""Q0"":""True"",""Q1"":""K"",""Q2"":""Only when the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","1","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","3","50460","0.0-1.0-0.0-2.0-0.0","0","1","78061","","1418","","","32","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","4","64944","0.0-1.0-0.1-0.1","0","0","78061","[{""page_index"":0,""viewing_time"":6782},{""page_index"":1,""viewing_time"":5576},{""page_index"":2,""viewing_time"":1519},{""page_index"":3,""viewing_time"":606}]","14483","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","5","73958","0.0-1.0-0.1-1.1","0","0","78061","","9011","{""Q0"":""True"",""Q1"":""K"",""Q2"":""Once the second image appears and while the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","6","74907","0.0-1.0-1.0","0","0","78061","","947","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","7","75159","0.0-1.0-2.0","0","0","78061","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","8","75310","0.0-1.0-3.0","0","0","78061","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","9","75564","0.0-1.0-4.0","0","0","78061","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","10","76661","0.0-1.0-5.0-0.0","0","0","78061","","1096","","","75","0","","","1","0","training","adjacent","ED","5","4","M.jpg","R.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","11","77670","0.0-1.0-6.0-0.0","0","0","78061","","null","","","null","0","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","12","79676","0.0-1.0-8.0-0.0","0","0","78061","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","13","80685","0.0-1.0-9.0","0","0","78061","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","14","80940","0.0-1.0-11.0","0","0","78061","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","15","81094","0.0-1.0-12.0","0","0","78061","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","16","81350","0.0-1.0-13.0","0","0","78061","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","17","81923","0.0-1.0-14.0-0.0","0","0","78061","","572","","","75","1","","","1","1","training","adjacent","EF","5","6","M.jpg","N.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","18","82934","0.0-1.0-15.0-0.0","0","0","78061","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","19","83942","0.0-1.0-18.0","0","0","78061","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","20","84199","0.0-1.0-20.0","0","0","78061","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","21","84358","0.0-1.0-21.0","0","0","78061","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","22","84615","0.0-1.0-22.0","0","0","78061","","null","","","null","2","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","23","85445","0.0-1.0-23.0-0.0","0","0","78061","","829","","","68","2","","","1","2","training","adjacent","DE","4","5","R.jpg","M.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","24","86454","0.0-1.0-24.0-0.0","0","0","78061","","null","","","null","2","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","25","88460","0.0-1.0-26.0-0.0","0","0","78061","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","26","89469","0.0-1.0-27.0","0","0","78061","","null","","","null","2","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","27","89724","0.0-1.0-29.0","0","0","78061","","null","","","null","3","","","","","","","","","","","","","","","",""
