"event","trial","time","PID"
"fullscreenenter","0","10601","80680"
"fullscreenexit","1","15398","80680"
"blur","1","21788","80680"
"focus","1","28387","80680"
"blur","1","63923","80680"
"focus","1","66243","80680"
"blur","1","67936","80680"
"focus","1","110970","80680"
"blur","1","112278","80680"
"focus","1","206850","80680"
"blur","1","207939","80680"
"focus","1","303666","80680"
"blur","1","358444","80680"
"focus","1","360435","80680"
"blur","4","462381","80680"
"focus","4","464859","80680"
"focus","4","464864","80680"
"blur","322","792103","80680"
"focus","322","799774","80680"
"blur","642","1196728","80680"
"focus","642","1198354","80680"
"blur","642","1220156","80680"
"focus","642","1553831","80680"
"blur","951","1843279","80680"
"focus","951","1844376","80680"
"blur","1233","2111184","80680"
"focus","1233","2176355","80680"
"blur","1233","2178164","80680"
"focus","1233","2192937","80680"
"blur","1787","2717145","80680"
"focus","1787","2723877","80680"
