SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
407864,A1PEMD0ZDSKQMK,3ZSANO2JCGH9NHLHB9Y7HTRNQLBFSQ,1690,3/8/2023 2:29:47 PM,3/8/2023 2:57:57 PM,Approved,7.00,4.14,1.020000,29114,,Female,100.00 %,
407864,A3A4IN69KE5N7P,3YDTZAI2WYQZVHPYE9N4UO7NBVP144,1806,3/8/2023 2:28:48 PM,3/8/2023 2:58:54 PM,Approved,7.00,4.31,1.020000,45448,,Female,100.00 %,
407864,A3DGF4NXXTB6MI,36W0OB37HXOQ2PY11RGFG703TFOHZV,1600,3/8/2023 2:32:17 PM,3/8/2023 2:58:57 PM,Approved,7.00,3.89,1.020000,91010,,Female,100.00 %,
407864,A3DXFLNJ9BXRBS,32SVAV9L3GJA79JUAEBEVK8K1PZA3G,2055,3/8/2023 2:28:35 PM,3/8/2023 3:02:50 PM,Approved,7.00,2.53,1.020000,87915,,,,
407864,A129GO1LVVCSW,34J10VATJG8HKS8UKDFNPQPEOPIQI3,1842,3/8/2023 2:32:29 PM,3/8/2023 3:03:11 PM,Approved,7.00,3.64,1.020000,62179,,Female,100.00 %,
407864,A3UE5B5KN7AY9W,36AHBNMV1SM9LJJUJ9V6BFC3VTQYDB,2090,3/8/2023 2:28:32 PM,3/8/2023 3:03:22 PM,Approved,7.00,2.87,1.020000,93422,,Female,100.00 %,
407864,AIIUR6K06BZDO,3K2755HG5TD3LS2ZEJ3IMU5NPI1FDW,1893,3/8/2023 2:32:05 PM,3/8/2023 3:03:38 PM,Approved,7.00,4.10,1.020000,31630,,Male,100.00 %,
407864,A1RLOZJTFEG5JM,3SKRO2GZ721K9JE1Z1AK15WJ8HG1KV,1618,3/8/2023 2:36:40 PM,3/8/2023 3:03:38 PM,Approved,7.00,3.76,1.020000,95965,,Female,100.00 %,
407864,A2JKSKM39SFR5V,3EFVCAY5L4J79ZS4G1JNF0JE7YL8JM,2186,3/8/2023 2:29:02 PM,3/8/2023 3:05:28 PM,Approved,7.00,2.55,1.020000,48925,,Female,100.00 %,
407864,ACG478QWPK9FS,3HWRJOOET6CHH3LLGYE1ZB6NEKWES7,2166,3/8/2023 2:30:15 PM,3/8/2023 3:06:21 PM,Approved,7.00,2.88,1.020000,96962,,,,
407864,A2616JPJO73667,36TFCYNS45K1XUYM09SUJMKSLFQHXY,2156,3/8/2023 2:32:07 PM,3/8/2023 3:08:03 PM,Approved,7.00,2.39,1.020000,75806,,Male,100.00 %,
407864,A340FMNO9WJG4J,3LJ7UR74RIN29OWNJWL2RVKQEWTN4X,2481,3/8/2023 2:28:21 PM,3/8/2023 3:09:42 PM,Approved,7.00,4.39,1.020000,55547,,,,
407864,A36T7N6CT9GUCG,3LPW2N6LKUCX0XKWU2GYAIIYMOIU52,2380,3/8/2023 2:30:09 PM,3/8/2023 3:09:49 PM,Approved,7.00,3.86,1.020000,52875,,,,
407864,A3V0H1DKNF9SUJ,3VELCLL3GLT9TXMNYQJNLS4E0LXF15,2511,3/8/2023 2:28:19 PM,3/8/2023 3:10:10 PM,Approved,7.00,2.32,1.020000,30200,,Female,100.00 %,
407864,A1VHITL9WRBG8J,3BXQMRHWK08V8452M1XKRKTK8J8MUK,2358,3/8/2023 2:30:59 PM,3/8/2023 3:10:17 PM,Approved,7.00,2.46,1.020000,82266,,Male,100.00 %,
407864,A1GXTCNCR757DC,34T446B1C1O2JWHVB5PMZH01YH40CJ,1867,3/8/2023 2:40:18 PM,3/8/2023 3:11:25 PM,Approved,7.00,2.56,1.020000,63135,,Male,100.00 %,
407864,A2EKE6IONUXHCU,3ZY8KE4ISKDM6YSUJKE64FF8WREVQ5,2122,3/8/2023 2:36:52 PM,3/8/2023 3:12:14 PM,Approved,7.00,2.56,1.020000,82247,,Female,100.00 %,
407864,A2PCH3XYW1JMWV,3C6FJU71TR3V2LUG54LVLFGRHUQUYO,1941,3/8/2023 2:40:11 PM,3/8/2023 3:12:32 PM,Approved,7.00,2.71,1.020000,53685,,,,
407864,AQGFIF4GOVTQX,3RXCAC0YISZXIX238VYKINRYF79G8X,1876,3/8/2023 2:41:54 PM,3/8/2023 3:13:10 PM,Approved,7.00,2.97,1.020000,51763,,,,
407864,A28MDXDNK6QHMS,3CTOC39K38039LNL6WRH10NJWEH7J0,2245,3/8/2023 2:36:50 PM,3/8/2023 3:14:15 PM,Approved,7.00,3.47,1.020000,34183,,Male,100.00 %,
407864,A1A9YC6Z7QJYLE,3VE8AYVF8N7R4X68XBS202RMER58FK,2367,3/8/2023 2:35:37 PM,3/8/2023 3:15:04 PM,Approved,7.00,3.85,1.020000,40537,,Female,100.00 %,
407864,A3P7AXWF57BHNX,3HHRAGRYX9FLOF2B16H6NSVBQYC9OU,2890,3/8/2023 2:28:29 PM,3/8/2023 3:16:39 PM,Approved,7.00,3.88,1.020000,24758,,Female,100.00 %,
407864,A152MTFVOJ1J8N,3TMFV4NEP9OTFJS3N0224QDM9UU8WH,2840,3/8/2023 2:29:43 PM,3/8/2023 3:17:03 PM,Approved,7.00,2.90,1.020000,10066,,Female,100.00 %,
407864,A30R6MCTH67KFD,3FTYUGLFSVVBJV9A87Q90IEA0OO5D4,2483,3/8/2023 2:35:48 PM,3/8/2023 3:17:11 PM,Approved,7.00,2.59,1.020000,62995,,Male,100.00 %,
407864,A2YKNKZIFUO0Y0,3C44YUNSI2ZFC5RTSMZNYOJRRPTPDG,1967,3/8/2023 2:45:21 PM,3/8/2023 3:18:08 PM,Approved,7.00,3.30,1.020000,12507,,Female,100.00 %,
407864,AA3E99SK8MRIB,3QXNC7EIPJ50LYASZLFVXRZTSW290C,2073,3/8/2023 2:44:07 PM,3/8/2023 3:18:40 PM,Approved,7.00,3.07,1.020000,36844,,,,
407864,A2JI8LMB1EEQ4Z,3A4TN5196LSDUWNR9DW759ZIKY7HC3,1974,3/8/2023 2:45:49 PM,3/8/2023 3:18:43 PM,Approved,7.00,2.54,1.020000,92143,,Female,100.00 %,
407864,A1VNFD1E3B4RU5,32Z9ZLUT1MUE3LKUZI5Y09TZ9CQOH7,2145,3/8/2023 2:43:19 PM,3/8/2023 3:19:04 PM,Approved,7.00,3.67,1.020000,61098,,Female,100.00 %,
407864,A2W6APZ4SBCJXA,3JC6VJ2SACTDLO6YOXZ7AH64FMU5A7,2438,3/8/2023 2:39:39 PM,3/8/2023 3:20:17 PM,Approved,7.00,3.79,1.020000,60961,,Male,100.00 %,
407864,ANX7HSRJL4IYC,3WS1NTTKEZM9M81527FN7NL4VUXF0A,2334,3/8/2023 2:44:25 PM,3/8/2023 3:23:19 PM,Approved,7.00,2.49,1.020000,72805,,,,
407864,ASZ9TVJH63WK5,3PB5A5BD0WGTIJXKYQ6E4NV34N37G1,2270,3/8/2023 2:45:47 PM,3/8/2023 3:23:37 PM,Approved,7.00,2.53,1.020000,42508,,Female,100.00 %,
407864,A2JVYQUP3RAXSP,3NJM2BJS4XG57DLFSQ4CEI196PICP4,1797,3/8/2023 2:54:05 PM,3/8/2023 3:24:02 PM,Approved,7.00,2.45,1.020000,62553,,Female,100.00 %,
407864,A1NWLJ1UHISO1E,3URFVVM166SV7B4L1QNEZMPTNNQZUE,3049,3/8/2023 2:33:21 PM,3/8/2023 3:24:10 PM,Approved,7.00,3.27,1.020000,34414,,Male,100.00 %,
407864,A290TNNAJJQCWL,3HPZF4IVNN3ZGRDGJD0VR9ULATHCYS,2811,3/8/2023 2:38:00 PM,3/8/2023 3:24:51 PM,Approved,7.00,3.86,1.020000,12433,,Male,100.00 %,
407864,AT2597DGVCVMI,3YGXWBAF71RJIKZWU6COBKQEFTLC4C,2463,3/8/2023 2:46:03 PM,3/8/2023 3:27:06 PM,Approved,7.00,2.46,1.020000,77037,,Male,100.00 %,
407864,A2R9OK4M877ZCC,320DUZ38G8WM2EYMZZVB7D0CVHXJGC,3564,3/8/2023 2:28:15 PM,3/8/2023 3:27:39 PM,Approved,7.00,2.44,1.020000,75029,,Male,100.00 %,
407864,A2CW0BEWH1R9F5,3J88R45B2H8TABWAJM0ZSVMJ775PXI,2605,3/8/2023 2:46:30 PM,3/8/2023 3:29:55 PM,Approved,7.00,2.50,1.020000,54704,,,,
407864,A1CUI91SURS24A,3RU7GD8VPP3LEUABPCUCTN5RSRYPS3,3653,3/8/2023 2:30:27 PM,3/8/2023 3:31:20 PM,Approved,7.00,2.27,1.020000,48790,,Male,100.00 %,
407864,A11JZFATJVBFN0,3T111IHZ5F0OLSURTYYAHN0G1LW9R3,3926,3/8/2023 2:28:42 PM,3/8/2023 3:34:08 PM,Approved,7.00,2.41,1.020000,10184,,Male,100.00 %,
407864,A22HVY17FWJ2FW,3JC6VJ2SACTDLO6YOXZ7AH64FLRA57,3475,3/8/2023 2:36:34 PM,3/8/2023 3:34:29 PM,Approved,7.00,3.01,1.020000,54673,,Male,100.00 %,
407864,A3PQVDFT21IISU,3F6KKYWMNCBF9KFGC7MVUZEWRASDN8,3231,3/8/2023 2:41:24 PM,3/8/2023 3:35:15 PM,Approved,7.00,4.51,1.020000,25560,,Female,100.00 %,
407864,A2ZVMI13NC2SAA,3R0T90IZ1TMZU0SGP7EPK9NH5YZCG4,2298,3/8/2023 2:59:23 PM,3/8/2023 3:37:41 PM,Approved,7.00,5.00,1.020000,78983,,Male,100.00 %,
407864,A2C6AGEN1NI41M,392CY0QWG21AVNLWMG8AMNO9SY5I4K,3135,3/8/2023 2:47:49 PM,3/8/2023 3:40:04 PM,Approved,7.00,5.00,1.020000,34075,,,,
407864,A283W4862AJY4G,3BWI6RSP7HJVY51TSVGQ4KARR7P7EL,2942,3/8/2023 2:55:50 PM,3/8/2023 3:44:52 PM,Approved,7.00,2.55,1.020000,40239,,Male,100.00 %,
407864,A2DLZAA3V387FQ,33C7UALJVM80EIC0QCDHB0NSDHM18C,4292,3/8/2023 2:35:45 PM,3/8/2023 3:47:17 PM,Approved,7.00,5.00,1.020000,34599,,Female,100.00 %,
407864,A12X8RUSITV7RU,31JLPPHS2V4Z9DDVKXGWWFSPQ7G3ON,1749,3/8/2023 3:19:32 PM,3/8/2023 3:48:41 PM,Approved,7.00,4.14,1.020000,34073,,Female,100.00 %,
407864,A36TE52PSYAAD6,3QL2OFSM97S54S92CBRKATWE6AONCQ,1468,3/8/2023 3:25:57 PM,3/8/2023 3:50:25 PM,Approved,7.00,4.65,1.020000,50956,,Female,100.00 %,
407864,A3O7FP6AOYOXT6,3YDTZAI2WYQZVHPYE9N4UO7NBW214J,1995,3/8/2023 3:17:46 PM,3/8/2023 3:51:01 PM,Approved,7.00,3.47,1.020000,53829,,Male,100.00 %,
407864,AQF2HZQWDY2QJ,3MX2NQ3YCA4PH1ERZ7RLUPH2G7C5XK,2037,3/8/2023 3:17:09 PM,3/8/2023 3:51:06 PM,Approved,7.00,2.63,1.020000,71312,,Male,100.00 %,
407864,A2KGOPIZ0ZFAKV,30X31N5D640ERQ490TCF3SGWT6ASA4,2524,3/8/2023 3:09:31 PM,3/8/2023 3:51:35 PM,Approved,7.00,2.39,1.020000,19035,,Male,100.00 %,
407864,A29AZUSDSSMKZL,337RC3OW06CBF1CHRF6ANTGEMM3LVK,2231,3/8/2023 3:16:52 PM,3/8/2023 3:54:03 PM,Approved,7.00,2.54,1.020000,44984,,Male,100.00 %,
407864,A1MEGCCID6DE1B,3PB5A5BD0WGTIJXKYQ6E4NV34NB7G9,1824,3/8/2023 3:23:50 PM,3/8/2023 3:54:14 PM,Approved,7.00,2.63,1.020000,10907,,Female,100.00 %,
407864,A1901T07YJX1OD,3CTOC39K38039LNL6WRH10NJWFS7JD,1937,3/8/2023 3:24:14 PM,3/8/2023 3:56:31 PM,Approved,7.00,3.57,1.020000,94080,,,,
407864,AFUCJOUHDKISW,37Q970SNZFIIX2R94AJMSRNTPC4S1G,2899,3/8/2023 3:09:03 PM,3/8/2023 3:57:22 PM,Approved,7.00,3.02,1.020000,77553,,Female,100.00 %,
407864,A2S0OZ9B24GU1K,3P4MQ7TPPYMKTESZVLQG8EQ270ABBI,2153,3/8/2023 3:26:39 PM,3/8/2023 4:02:32 PM,Approved,7.00,3.04,1.020000,66765,,Female,100.00 %,
407864,A1MNB7TXB3NSVX,3483FV8BEFTKZPB8G1GXW516ZS962B,5746,3/8/2023 2:28:54 PM,3/8/2023 4:04:40 PM,Approved,7.00,2.42,1.020000,48840,,Female,100.00 %,
407864,A3VFA6HNMEXO9L,34V1S5K3GTBVZ9W71AVC6S9K5Z069M,1669,3/8/2023 3:36:52 PM,3/8/2023 4:04:41 PM,Approved,7.00,3.09,1.020000,78061,,,,
407864,A3KYW63NPGY1V5,34Q075JO1YNIWT7XV802ILHAUJ910O,5797,3/8/2023 2:28:29 PM,3/8/2023 4:05:06 PM,Approved,7.00,2.63,1.020000,73869,,Female,100.00 %,
407864,A2OU40SUJR40CC,32M8BPYGAUWQ73EGHHABVCLCI3LIGE,3148,3/8/2023 3:13:14 PM,3/8/2023 4:05:42 PM,Approved,7.00,5.00,1.020000,21199,,,,
407864,A1Z5NE2EYZ6QOT,3COPXFW7XCMNQBX3K3LA21EHBY1PK4,1751,3/8/2023 3:39:18 PM,3/8/2023 4:08:29 PM,Approved,7.00,3.57,1.020000,48668,,Female,100.00 %,
407864,A3OXI3SXDSOO1U,31QTRG6Q2UNIAGMKOIM1B9TS9D5YP3,3932,3/8/2023 3:03:48 PM,3/8/2023 4:09:20 PM,Approved,7.00,2.90,1.020000,45645,,Male,100.00 %,
