SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
378240,A3EC3OP6U52JYC,34S9DKFK74ZI7VA783997KOW92SYN1,2538,8/4/22 17:08,8/4/22 17:50,Approved,7,4.12,1.01,33866,,Male,100.00%,
378240,A27EV0216FCLJW,3OVHNO1VE7B9Q9TZFVXPPML41SVDZQ,2682,8/4/22 17:08,8/4/22 17:52,Approved,7,2.61,1.01,25689,,Male,100.00%,
378240,A2DVV59R1CQU6T,3ZSANO2JCGH9NHLHB9Y7HTRMQQBSFB,2666,8/4/22 17:11,8/4/22 17:56,Approved,7,2.4,1.01,83730,,Male,100.00%,
378240,A39ASRFAG250FH,34Z02EIMITNJ5DJ6XRKCOR04M7ZT0W,3015,8/4/22 17:13,8/4/22 18:03,Approved,7,2.44,1.01,93492,,Female,100.00%,
378240,A209V2VHLLQ59W,3EWIJTFFVPHHGU197WVHP503JXDE0S,3198,8/4/22 17:10,8/4/22 18:03,Approved,7,3.56,1.01,65334,,,,
378240,A34EHWOYRBL6OZ,3OWEPKL08AMZSBE6LUJ9U74Z53KN7Q,3549,8/4/22 17:08,8/4/22 18:07,Approved,7,3.21,1.01,47393,,Female,100.00%,
378240,AMTTB8JUWRRM7,3CFVK00FWMVQ0BXGQ7Y2B10E5Y4L6T,3850,8/4/22 17:26,8/4/22 18:30,Approved,7,2.78,1.01,99802,,Female,100.00%,
378240,A4HPPP6EKBBFM,35K3O9HUACN8DYGZAEE2SCN7P0EFEB,2795,8/4/22 17:48,8/4/22 18:35,Approved,7,2.53,1.01,47885,,Male,100.00%,
378240,A11H31X2XJH13N,3UNH76FOCTFCPDP7W2U9U5ZW4CIYM1,5387,8/4/22 17:07,8/4/22 18:37,Approved,7,4.24,1.01,39725,,Male,100.00%,
378240,A3AY0315YWWNXY,37XITHEISXJQJQ1U5I81JD1N7C8CR6,4575,8/4/22 17:38,8/4/22 18:54,Approved,7,4.02,1.01,60296,,Male,100.00%,
378240,AM65LGXJBTJ0I,33NF62TLXKCR40U5PQGQ55S423FKJP,7116,8/4/22 17:12,8/4/22 19:11,Approved,7,4.1,1.01,60710,,Male,100.00%,
378240,A196XR61DIW5GU,3PB5A5BD0WGTIJXKYQ6E4NV24RYG7B,9491,8/4/22 17:07,8/4/22 19:46,Approved,7,2.34,1.01,74652,,Male,100.00%,
378240,A235DXY5FJN0IW,3UWN2HHPUZFLB9YY9XHKPY0VSHXSNI,10048,8/4/22 17:16,8/4/22 20:03,Approved,7,2.8,1.01,89254,,Female,100.00%,
378240,A1PBWSMSRU9YAO,3OHYZ19UGDFZTYCGTCV6JN6UWMGAO6,6384,8/4/22 18:18,8/4/22 20:04,Approved,7,2.45,1.01,55144,,Female,100.00%,
378240,A1NQOR4RQJJDMW,3TE22NPXPCMGNGMH1R66SMEPNKZ44S,2905,8/4/22 19:26,8/4/22 20:14,Approved,7,4.32,1.01,25840,,Female,100.00%,
378240,A2S8V4HL7VI0S0,39OWYR0EPL16J3XQAFQWZFFN7DKFYT,2630,8/4/22 20:10,8/4/22 20:54,Approved,7,3.72,1.01,55871,,Male,100.00%,
378240,AMIQGW2E3WYO4,3A1COHJ8NK5BITXES1G23N3YUDU8H6,3146,8/4/22 20:12,8/4/22 21:04,Approved,7,2.61,1.01,29380,,Male,100.00%,
378240,A3CMO4D4U0C7JI,3B4YI393VA6IRMQ3HTY6OSA1FG4SST,3977,8/4/22 20:26,8/4/22 21:32,Approved,7,2.47,1.01,96697,,Male,100.00%,
378240,A2S9SAGO12WZ6P,3570Y55XZQTCX3TLLZWEH0FZ8S5YGW,2726,8/4/22 21:53,8/4/22 22:38,Approved,7,2.56,1.01,43986,,Female,100.00%,
378240,A3TMDO1DAG605W,3PS7W85Z80C1177JXN35H21XPDGT9Z,8897,8/4/22 20:41,8/4/22 23:09,Approved,7,3.52,1.01,67019,,Male,100.00%,
378076,ACI0C2WU1NABK,384PI804XTBIQD6R8RFMEM4IKI90SQ,2471,8/3/22 20:57,8/3/22 21:38,Approved,7,3.46,1.01,77831,,,,
378076,A11WCFPJSR5VZP,3U088ZLJVL3BXUN0SWPNBB73QV50W5,2548,8/3/22 20:58,8/3/22 21:41,Approved,7,3.84,1.01,50916,,Female,100.00%,
378076,AWOCNBZET5U33,3TOK3KHVJUSHAWEIM9JM9W44V7BO7G,2909,8/3/22 20:53,8/3/22 21:42,Approved,7,4.07,1.01,83263,,Male,100.00%,
378076,A356FIP4QA4RPK,3E13VNJ1NO5T3OODZYP8OPH5GCDI1J,3013,8/3/22 20:54,8/3/22 21:45,Approved,7,4.31,1.01,91505,,Female,100.00%,
378076,A3IMM3YOEK9D3H,3T111IHZ5F0OLSURTYYAHN0F1KJR94,3217,8/3/22 20:53,8/3/22 21:47,Approved,7,3.62,1.01,62907,,Female,100.00%,
